violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
METER EXPIRED CC,2017-11-29T15:03:00Z,36,PPA,39.949943,-75.157827,19107
METER EXPIRED,2017-11-11T09:42:00Z,26,PPA,40.044075,-75.07293,19149
METER EXPIRED,2017-11-11T09:48:00Z,26,PPA,40.042828,-75.074197,19149
METER EXPIRED,2017-11-11T10:44:00Z,26,PPA,40.050238,-75.094875,19111
METER EXPIRED CC,2017-11-11T15:51:00Z,36,PPA,39.947192,-75.145717,19106
METER EXPIRED CC,2017-11-11T11:41:00Z,36,PPA,39.9535,-75.197408,19104
METER EXPIRED CC,2017-11-11T12:23:00Z,36,PPA,39.954305,-75.194505,19104
STOP PROHIBITED CC,2017-11-11T12:26:00Z,76,PPA,39.954632,-75.19457,19104
METER EXPIRED,2017-11-11T10:25:00Z,26,PPA,39.995103,-75.115588,19134
METER EXPIRED,2017-11-11T14:01:00Z,26,PPA,40.039563,-75.077562,19111
METER EXPIRED,2017-11-11T14:07:00Z,26,PPA,40.039595,-75.077085,19149
METER EXPIRED,2017-11-01T17:04:00Z,26,PPA,40.04019,-75.076833,19149
METER EXPIRED,2017-11-11T08:55:00Z,26,PPA,40.038545,-75.035807,19136
PARKING PROHBITED CC,2017-11-30T18:32:00Z,51,PPA,39.9486,-75.147653,19106
METER EXPIRED,2017-11-20T12:19:00Z,26,PPA,40.035362,-75.043433,19135
STOP PROHIBITED CC,2017-11-13T15:27:00Z,76,PPA,39.952563,-75.169537,19103
METER EXPIRED,2017-11-18T10:08:00Z,26,PPA,40.03439,-75.215715,19128
METER EXPIRED CC,2017-11-29T13:59:00Z,36,PPA,39.948718,-75.146417,19106
OVER TIME LIMIT,2017-11-11T11:17:00Z,26,PPA,39.963508,-75.19003,19104
METER EXPIRED CC,2017-11-08T17:17:00Z,36,PPA,39.953727,-75.193053,19104
OVER TIME LIMIT,2017-11-11T11:26:00Z,26,PPA,39.96511,-75.190395,19104
PARKING PROHBITED,2017-11-07T09:26:00Z,41,PPA,39.93266,-75.161838,19147
STOPPING PROHIBITED,2017-11-21T13:16:00Z,51,PPA,40.021313,-75.079215,19124
METER EXPIRED,2017-11-03T13:38:00Z,26,PPA,40.040697,-75.144312,19141
METER EXPIRED,2017-11-01T10:48:00Z,26,PPA,39.96422,-75.160902,19130
METER EXPIRED,2017-11-29T17:00:00Z,26,PPA,40.073972,-75.203187,19118
METER EXPIRED,2017-11-11T10:16:00Z,26,PPA,39.925828,-75.168382,19148
IMPROPER ON 2WAY HWY,2017-11-27T09:41:00Z,31,PPA,39.958433,-75.189202,19104
EXPIRED INSPECTION,2017-11-22T10:06:00Z,41,PPA,39.949477,-75.162445,19107
PASSENGR LOADNG ZONE,2017-11-25T14:43:00Z,31,PPA,39.953925,-75.16012,19107
PARKING PROHBITED,2017-11-11T07:32:00Z,41,PPA,39.964225,-75.164635,19130
METER EXPIRED CC,2017-11-15T17:10:00Z,36,PPA,39.945608,-75.162822,19107
METER EXPIRED CC,2017-11-24T14:26:00Z,36,PPA,39.953832,-75.19667,19104
SIDEWALK,2017-11-27T07:24:00Z,51,POLICE,39.960624,-75.20657519,19104
BUS ONLY ZONE,2017-11-27T23:59:00Z,51,POLICE,40.0460644,-75.17740248,19144
METER EXPIRED CC,2017-11-10T17:58:00Z,36,PPA,39.948952,-75.170392,19103
STOPPING PROHIBITED,2017-11-10T13:15:00Z,51,PPA,39.97879,-75.15404,19122
METER EXPIRED CC,2017-11-11T16:36:00Z,36,PPA,39.954695,-75.19998,19104
METER EXPIRED CC,2017-11-11T16:38:00Z,36,PPA,39.953973,-75.199953,19104
METER EXPIRED CC,2017-11-11T17:11:00Z,36,PPA,39.953968,-75.20034,19104
OVER TIME LIMIT,2017-11-07T15:01:00Z,26,PPA,39.965408,-75.174018,19130
OVER TIME LIMIT,2017-11-28T12:49:00Z,26,PPA,39.96578,-75.176662,19130
EXPIRED INSPECTION,2017-11-11T14:48:00Z,41,PPA,39.953492,-75.155742,19107
EXPIRED INSPECTION,2017-11-05T15:06:00Z,41,PPA,39.952777,-75.173392,19103
BUS ONLY ZONE,2017-11-11T11:30:00Z,51,PPA,40.045677,-75.182215,19144
OVER TIME LIMIT,2017-11-10T19:31:00Z,26,PPA,39.935623,-75.148203,19147
METER EXPIRED CC,2017-11-10T17:03:00Z,36,PPA,39.941555,-75.145677,19147
METER EXPIRED CC,2017-11-10T19:50:00Z,36,PPA,39.941572,-75.14843,19147
METER EXPIRED CC,2017-11-10T20:11:00Z,36,PPA,39.941505,-75.145543,19147
METER EXPIRED CC,2017-11-20T20:03:00Z,36,PPA,39.946882,-75.162835,19107
STOP PROHIBITED CC,2017-11-14T10:08:00Z,76,PPA,39.963285,-75.171122,19130
DOUBLE PARKED,2017-11-28T10:45:00Z,51,POLICE,39.9703675,-75.12994377,19125
PRIVATE PROPERTY,2017-11-15T18:35:00Z,26,PPA,39.978157,-75.158893,19121
STREET CLEANING,2017-11-14T08:33:00Z,31,PPA,40.056325,-75.088968,19111
PARKING PROHBITED,2017-11-11T07:08:00Z,41,PPA,40.020192,-75.213368,19127
PARKING PROHBITED,2017-11-11T08:16:00Z,41,PPA,40.032825,-75.229638,19127
METER EXPIRED,2017-11-11T10:03:00Z,26,PPA,40.025282,-75.223162,19127
METER EXPIRED,2017-11-11T10:09:00Z,26,PPA,40.026373,-75.225662,19127
OVER TIME LIMIT,2017-11-11T10:23:00Z,26,PPA,40.031058,-75.228207,19127
METER EXPIRED,2017-11-11T10:58:00Z,26,PPA,39.92813,-75.165495,19148
METER EXPIRED CC,2017-11-11T08:47:00Z,36,PPA,39.95172713,-75.18342732,19104
METER EXPIRED CC,2017-11-08T21:02:00Z,36,PPA,39.951305,-75.177872,19103
HP RESERVED SPACE,2017-11-22T19:27:00Z,301,PPA,39.977445,-75.158038,19121
EXPIRED INSPECTION,2017-11-16T09:58:00Z,41,PPA,39.940395,-75.154433,19147
EXPIRED INSPECTION,2017-11-17T11:45:00Z,41,PPA,39.940663,-75.15431,19147
METER EXPIRED CC,2017-11-11T12:07:00Z,36,PPA,39.952567,-75.185562,19104
METER EXPIRED CC,2017-11-19T15:24:00Z,36,PPA,39.94138,-75.145602,19147
METER EXPIRED CC,2017-11-11T12:50:00Z,36,PPA,39.954958,-75.184133,19104
OVER TIME LIMIT,2017-11-15T17:20:00Z,26,PPA,39.936055,-75.169097,19146
OVER TIME LIMIT,2017-11-16T18:45:00Z,26,PPA,39.936232,-75.170203,19146
OVER TIME LIMIT,2017-11-30T13:42:00Z,26,PPA,39.936205,-75.169802,19146
STOP PROHIBITED CC,2017-11-11T11:31:00Z,76,PPA,39.944032,-75.1654,19146
METER EXPIRED CC,2017-11-21T12:24:00Z,36,PPA,39.94941,-75.167347,19102
SCHOOL ZONE,2017-11-13T07:55:00Z,36,PPA,39.965358,-75.16411,19130
EXPIRED INSPECTION,2017-11-02T19:58:00Z,41,PPA,40.025538,-75.223657,19127
SIDEWALK,2017-11-22T12:58:00Z,51,PPA,40.047063,-75.070433,19149
METER EXPIRED,2017-11-22T17:14:00Z,26,PPA,40.04305,-75.07406,19149
METER EXPIRED,2017-11-22T11:27:00Z,26,PPA,40.035993,-75.14477,19141
METER EXPIRED,2017-11-22T14:35:00Z,26,PPA,40.047372,-75.069932,19149
METER EXPIRED,2017-11-22T14:44:00Z,26,PPA,40.0443,-75.072823,19149
METER EXPIRED,2017-11-22T13:02:00Z,26,PPA,40.047863,-75.068817,19149
OVER TIME LIMIT,2017-11-22T13:23:00Z,26,PPA,39.922317,-75.163317,19148
METER EXPIRED CC,2017-11-11T18:14:00Z,36,PPA,39.942592,-75.148875,19147
SIDEWALK   CC,2017-11-03T10:01:00Z,76,PPA,39.95348,-75.154543,19107
OVER TIME LIMIT,2017-11-22T13:50:00Z,26,PPA,39.913882,-75.171613,19145
CROSSWALK,2017-11-22T11:21:00Z,51,PPA,39.935263,-75.165073,19147
PARKING PROHBITED,2017-11-23T03:47:00Z,41,POLICE,39.99507998,-75.07786088,19137
METER EXPIRED,2017-11-22T10:08:00Z,26,PPA,39.958667,-75.188317,19104
METER EXPIRED,2017-11-09T12:57:00Z,26,PPA,40.033543,-75.175663,19144
OVER TIME LIMIT,2017-11-22T20:59:00Z,26,PPA,39.953665,-75.21507,19139
STOP PROHIBITED CC,2017-11-11T13:57:00Z,76,PPA,39.953895,-75.176018,19103
METER EXPIRED CC,2017-11-01T14:44:00Z,36,PPA,39.951502,-75.174242,19103
STOP PROHIBITED CC,2017-11-28T13:25:00Z,76,PPA,39.95087,-75.165937,19102
PARKING PROHBITED,2017-11-05T12:30:00Z,41,PPA,39.913885,-75.160085,19148
EXPIRED INSPECTION,2017-11-02T12:01:00Z,41,PPA,39.947825,-75.15198,19106
METER EXPIRED CC,2017-11-30T19:57:00Z,36,PPA,39.952173,-75.174457,19103
STOP PROHIBITED CC,2017-11-27T13:27:00Z,76,PPA,39.95011,-75.155638,19107
PASSENGR LOADNG ZONE,2017-11-21T12:20:00Z,31,PPA,39.946177,-75.161062,19107
EXPIRED INSPECTION,2017-11-07T00:00:00Z,41,POLICE,39.96624703,-75.24971286,19139
STOPPING PROHIBITED,2017-11-22T16:11:00Z,51,PPA,40.03738,-75.144908,19141
METER EXPIRED,2017-11-22T16:08:00Z,26,PPA,40.037807,-75.144573,19141
METER EXPIRED,2017-11-22T16:13:00Z,26,PPA,40.037473,-75.144543,19141
BUS ONLY ZONE,2017-11-22T12:33:00Z,51,PPA,39.958688,-75.22508,19139
METER EXPIRED,2017-11-27T15:22:00Z,26,PPA,40.03377,-75.171838,19144
METER EXPIRED,2017-11-09T14:56:00Z,26,PPA,40.042215,-75.07467,19149
SIDEWALK,2017-11-04T07:04:00Z,51,PPA,40.021897,-75.215093,19127
SIDEWALK,2017-11-04T19:00:00Z,51,POLICE,40.02192855,-75.21502534,19127
CROSSWALK,2017-11-30T11:31:00Z,51,PPA,39.920575,-75.158542,19148
OVER TIME LIMIT,2017-11-08T20:42:00Z,26,PPA,39.941848,-75.181298,19146
SIDEWALK,2017-11-17T00:55:00Z,51,POLICE,40.02136055,-75.047877,19135
METER EXPIRED CC,2017-11-21T10:37:00Z,36,PPA,39.95025,-75.159523,19107
CROSSWALK,2017-11-11T09:48:00Z,51,PPA,39.921407,-75.156785,19148
EXPIRED INSPECTION,2017-11-06T15:43:00Z,41,PPA,39.952567,-75.172152,19103
EXPIRED INSPECTION,2017-11-28T12:01:00Z,41,PPA,40.036023,-75.174255,19144
METER EXPIRED,2017-11-11T10:48:00Z,26,PPA,40.05792,-75.059378,19152
METER EXPIRED,2017-11-22T11:56:00Z,26,PPA,40.035298,-75.043775,19135
METER EXPIRED,2017-11-22T11:58:00Z,26,PPA,40.035285,-75.044562,19149
METER EXPIRED,2017-11-22T12:24:00Z,26,PPA,40.036373,-75.041437,19135
METER EXPIRED,2017-11-24T12:19:00Z,26,PPA,40.013595,-75.08652,19124
METER EXPIRED CC,2017-11-22T16:06:00Z,36,PPA,39.942133,-75.14903,19147
OVER TIME LIMIT CC,2017-11-25T12:05:00Z,36,PPA,39.945548,-75.16997,19146
OVER TIME LIMIT CC,2017-11-29T12:35:00Z,36,PPA,39.944563,-75.176368,19146
EXPIRED INSPECTION,2017-11-18T11:36:00Z,41,PPA,39.95226,-75.145977,19106
HP RAMP BLOCKED,2017-11-10T22:09:00Z,76,PPA,40.024812,-75.220437,19127
EXPIRED INSPECTION,2017-11-10T22:26:00Z,41,PPA,40.028357,-75.226182,19127
OVER TIME LIMIT,2017-11-10T22:52:00Z,26,PPA,40.031468,-75.218413,19128
METER EXPIRED,2017-11-11T13:37:00Z,26,PPA,40.007783,-75.15047,19140
METER EXPIRED,2017-11-11T14:10:00Z,26,PPA,40.008183,-75.150603,19140
EXPIRED INSPECTION,2017-11-11T12:41:00Z,41,PPA,39.952992,-75.180483,19103
PARKING PROHBITED,2017-11-08T08:36:00Z,41,PPA,39.999897,-75.109508,19134
STOP PROHIBITED CC,2017-11-22T15:47:00Z,76,PPA,39.950098,-75.169605,19103
EXPIRED INSPECTION,2017-11-28T15:58:00Z,41,POLICE,40.04417015,-75.07679484,19111
METER EXPIRED,2017-11-22T13:41:00Z,26,PPA,40.037605,-75.042268,19149
METER EXPIRED,2017-11-22T14:03:00Z,26,PPA,40.035692,-75.042167,19135
METER EXPIRED,2017-11-22T16:49:00Z,26,PPA,40.036207,-75.041758,19135
STOPPING PROHIBITED,2017-11-22T12:04:00Z,51,PPA,39.96718,-75.12836,19125
METER EXPIRED,2017-11-22T14:13:00Z,26,PPA,40.03761,-75.042408,19149
METER EXPIRED CC,2017-11-06T12:26:00Z,36,PPA,39.951825,-75.185337,19104
EXPIRED INSPECTION,2017-11-09T15:52:00Z,41,POLICE,39.91899462,-75.22766786,19142
EXPIRED TAG,2017-11-10T13:58:00Z,41,POLICE,40.02213407,-75.07474771,19124
STOPPING PROHIBITED,2017-11-01T13:48:00Z,51,PPA,39.995543,-75.13954,19133
OVER TIME LIMIT,2017-11-02T20:27:00Z,26,PPA,39.951515,-75.215817,19143
METER EXPIRED,2017-11-22T15:35:00Z,26,PPA,39.958643,-75.225235,19139
METER EXPIRED,2017-11-30T10:52:00Z,26,PPA,39.92251298,-75.17016763,19145
METER EXPIRED CC,2017-11-24T19:35:00Z,36,PPA,39.941188,-75.14622,19147
METER EXPIRED,2017-11-01T11:40:00Z,26,PPA,40.026193,-75.042992,19135
METER EXPIRED,2017-11-18T11:05:00Z,26,PPA,40.026068,-75.043067,19135
OVER TIME LIMIT,2017-11-02T11:30:00Z,26,PPA,40.041932,-75.141852,19141
OVER TIME LIMIT,2017-11-03T12:57:00Z,26,PPA,40.041917,-75.141767,19141
OVER TIME LIMIT,2017-11-10T21:55:00Z,26,PPA,39.941582,-75.163295,19147
METER EXPIRED CC,2017-11-11T18:49:00Z,36,PPA,39.959258,-75.150193,19123
EXPIRED INSPECTION,2017-11-11T12:24:00Z,41,PPA,39.953752,-75.169732,19103
METER EXPIRED,2017-11-22T13:41:00Z,26,PPA,39.987182,-75.155997,19132
METER EXPIRED CC,2017-11-16T08:58:00Z,36,PPA,39.953407,-75.155595,19107
STOP PROHIBITED CC,2017-11-11T15:44:00Z,76,PPA,39.942355,-75.143718,19147
PARKING PROHBITED,2017-11-11T13:09:00Z,41,PPA,39.941018,-75.158973,19147
BUS ONLY ZONE,2017-11-11T09:13:00Z,51,PPA,40.00887,-75.150813,19140
METER EXPIRED,2017-11-11T11:55:00Z,26,PPA,40.008457,-75.150712,19140
SCHOOL ZONE,2017-11-13T11:19:00Z,36,PPA,39.963243,-75.160198,19123
METER EXPIRED,2017-11-05T12:10:00Z,26,PPA,39.92468,-75.17179,19145
METER EXPIRED CC,2017-11-17T12:00:00Z,36,PPA,39.946142,-75.157803,19107
EXPIRED INSPECTION,2017-11-13T12:18:00Z,41,PPA,39.952245,-75.145992,19106
SCHOOL ZONE,2017-11-22T11:06:00Z,36,PPA,40.031393,-75.034538,19136
BUS ONLY ZONE,2017-11-04T11:53:00Z,51,PPA,39.977675,-75.149793,19122
METER EXPIRED,2017-11-08T15:05:00Z,26,PPA,39.925053,-75.169587,19148
METER EXPIRED CC,2017-11-17T17:53:00Z,36,PPA,39.959963,-75.150098,19123
METER EXPIRED,2017-11-18T10:54:00Z,26,PPA,40.026372,-75.043503,19135
METER EXPIRED,2017-11-22T16:18:00Z,26,PPA,40.026087,-75.224922,19127
EXPIRED INSPECTION,2017-11-22T16:31:00Z,41,PPA,40.024287,-75.221007,19127
METER EXPIRED,2017-11-22T17:49:00Z,26,PPA,40.024265,-75.220957,19127
EXPIRED INSPECTION,2017-11-18T15:50:00Z,41,PPA,39.947768,-75.15752,19107
SCHOOL ZONE,2017-11-09T07:48:00Z,36,PPA,39.985132,-75.158303,19121
FIRE HYDRANT,2017-11-16T12:01:00Z,76,PPA,39.935272,-75.158905,19147
BUS ONLY ZONE,2017-11-15T21:02:00Z,51,PPA,40.026342,-75.14764,19141
DOUBLE PARKED  CC,2017-11-22T23:48:00Z,76,POLICE,39.94990244,-75.16245775,19107
FIRE HYDRANT,2017-11-24T10:49:00Z,76,PPA,39.94045292,-75.14862631,19147
METER EXPIRED CC,2017-11-22T11:46:00Z,36,PPA,39.941775,-75.150158,19147
OVER TIME LIMIT,2017-11-02T11:42:00Z,26,PPA,39.925378,-75.167145,19148
METER EXPIRED CC,2017-11-11T12:31:00Z,36,PPA,39.950823,-75.162928,19107
METER EXPIRED CC,2017-11-11T13:12:00Z,36,PPA,39.95109,-75.155063,19107
METER EXPIRED CC,2017-11-11T14:38:00Z,36,PPA,39.949068,-75.142218,19106
PARKING PROHBITED,2017-11-20T20:52:00Z,41,POLICE,39.92416737,-75.1680334,19148
EXPIRED INSPECTION,2017-11-17T16:01:00Z,41,PPA,39.946337,-75.213608,19143
OVER TIME LIMIT,2017-11-20T11:37:00Z,26,PPA,39.954168,-75.213807,19139
STOPPING PROHIBITED,2017-11-02T16:05:00Z,51,PPA,40.027102,-75.147458,19141
PARKING PROHBITED,2017-11-11T07:50:00Z,41,PPA,39.96904,-75.18,19130
METER EXPIRED,2017-11-13T16:18:00Z,26,PPA,40.049315,-75.095985,19111
BLOCKING DRIVEWAY,2017-11-25T09:45:00Z,51,POLICE,40.02048181,-75.04957424,19135
METER EXPIRED,2017-11-22T13:47:00Z,26,PPA,40.035715,-75.043002,19135
STOPPING PROHIBITED,2017-11-08T16:12:00Z,51,PPA,40.027983,-75.147118,19141
METER EXPIRED,2017-11-20T14:20:00Z,26,PPA,40.035553,-75.043413,19135
EXPIRED INSPECTION,2017-11-17T12:57:00Z,41,PPA,39.951632,-75.173862,19103
METER EXPIRED CC,2017-11-11T20:49:00Z,36,PPA,39.961043,-75.149968,19123
METER EXPIRED CC,2017-11-11T20:55:00Z,36,PPA,39.95978,-75.15012,19123
METER EXPIRED,2017-11-11T14:20:00Z,26,PPA,39.926757,-75.232617,19142
METER EXPIRED,2017-11-11T14:29:00Z,26,PPA,39.929355,-75.229475,19142
EXPIRED INSPECTION,2017-11-20T18:51:00Z,41,PPA,39.951297,-75.1708,19103
METER EXPIRED CC,2017-11-02T13:10:00Z,36,PPA,39.958933,-75.168302,19103
METER EXPIRED CC,2017-11-11T08:53:00Z,36,PPA,39.944928,-75.162975,19147
SIDEWALK,2017-11-02T09:26:00Z,51,PPA,39.920783,-75.156427,19148
METER EXPIRED CC,2017-11-22T16:31:00Z,36,PPA,39.95468,-75.19507,19104
PARKING PROHBITED,2017-11-11T07:37:00Z,41,PPA,40.01297,-75.19058,19129
METER EXPIRED CC,2017-11-17T12:10:00Z,36,PPA,39.955262,-75.202168,19104
METER EXPIRED CC,2017-11-15T21:51:00Z,36,PPA,39.949128,-75.14382,19106
METER EXPIRED CC,2017-11-08T12:10:00Z,36,PPA,39.941615,-75.145542,19147
LOADING ZONE   CC,2017-11-20T11:20:00Z,51,PPA,39.954303,-75.160235,19107
OVER TIME LIMIT,2017-11-22T12:28:00Z,26,PPA,39.934098,-75.169257,19146
OVER TIME LIMIT,2017-11-22T13:34:00Z,26,PPA,39.93604,-75.16925,19146
METER EXPIRED CC,2017-11-22T17:10:00Z,36,PPA,39.953437,-75.17197,19103
METER EXPIRED CC,2017-11-21T17:13:00Z,36,PPA,39.941787,-75.150445,19147
METER EXPIRED,2017-11-28T17:10:00Z,26,PPA,40.042447,-75.144377,19141
EXPIRED INSPECTION,2017-11-20T13:49:00Z,41,POLICE,40.04224851,-75.17723386,19144
OVER TIME LIMIT,2017-11-16T11:26:00Z,26,PPA,39.976933,-75.162322,19121
METER EXPIRED CC,2017-11-09T10:09:00Z,36,PPA,39.951413,-75.1773,19103
METER EXPIRED CC,2017-11-27T10:05:00Z,36,PPA,39.951107,-75.156855,19107
OVER TIME LIMIT,2017-11-01T14:53:00Z,26,PPA,39.981332,-75.161483,19121
METER EXPIRED,2017-11-11T14:07:00Z,26,PPA,39.927088,-75.232307,19142
STOPPING PROHIBITED,2017-11-10T23:08:00Z,51,PPA,39.92796,-75.177948,19145
METER EXPIRED CC,2017-11-11T07:14:00Z,36,PPA,39.949827,-75.15807,19107
METER EXPIRED CC,2017-11-11T08:13:00Z,36,PPA,39.946712,-75.154477,19107
METER EXPIRED,2017-11-14T12:06:00Z,26,PPA,40.07493,-75.204732,19118
METER EXPIRED CC,2017-11-08T12:46:00Z,36,PPA,39.945527,-75.15651,19107
METER EXPIRED,2017-11-02T15:15:00Z,26,PPA,40.03746,-75.144673,19141
OVER TIME LIMIT,2017-11-26T16:33:00Z,26,PPA,40.024885,-75.221887,19127
METER EXPIRED,2017-11-13T17:07:00Z,26,PPA,40.037282,-75.144637,19141
BUS ONLY ZONE   CC,2017-11-07T16:25:00Z,76,PPA,39.953482,-75.197585,19104
METER EXPIRED,2017-11-17T14:46:00Z,26,PPA,40.004103,-75.1502,19140
METER EXPIRED CC,2017-11-24T11:14:00Z,36,PPA,39.953195,-75.169427,19103
BUS ONLY ZONE,2017-11-04T14:05:00Z,51,PPA,39.951905,-75.207023,19104
FIRE HYDRANT,2017-11-21T01:23:00Z,76,POLICE,40.04812049,-75.15892829,19138
METER EXPIRED CC,2017-11-10T19:23:00Z,36,PPA,39.94176,-75.149955,19147
OVER TIME LIMIT,2017-11-10T20:58:00Z,26,PPA,39.927915,-75.177628,19145
