violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
OVER TIME LIMIT,2017-11-02T22:09:00Z,26,PPA,40.025792,-75.222557,19127
OVER TIME LIMIT,2017-11-05T20:19:00Z,26,PPA,40.025898,-75.222708,19127
OVER TIME LIMIT CC,2017-11-14T16:17:00Z,36,PPA,39.943748,-75.150215,19106
FIRE HYDRANT,2017-11-28T11:28:00Z,76,PPA,39.940588,-75.147927,19147
METER EXPIRED,2017-11-13T16:52:00Z,26,PPA,40.039637,-75.144698,19141
OVER TIME LIMIT,2017-11-14T13:40:00Z,26,PPA,39.96898,-75.17388,19130
OVER TIME LIMIT,2017-11-22T13:42:00Z,26,PPA,39.969035,-75.173902,19130
STOP PROHIBITED CC,2017-11-22T17:20:00Z,76,PPA,39.952975,-75.145013,19106
OVER TIME LIMIT,2017-11-09T13:44:00Z,26,PPA,39.924808,-75.162835,19148
METER EXPIRED CC,2017-11-27T14:03:00Z,36,PPA,39.952792,-75.19144,19104
METER EXPIRED,2017-11-20T16:38:00Z,26,PPA,40.075235,-75.205163,19118
METER EXPIRED CC,2017-11-03T12:06:00Z,36,PPA,39.950088,-75.154988,19107
METER EXPIRED,2017-11-22T14:25:00Z,26,PPA,39.924648,-75.169585,19145
OVER TIME LIMIT,2017-11-15T15:19:00Z,26,PPA,39.93981,-75.168718,19146
METER EXPIRED CC,2017-11-22T21:34:00Z,36,PPA,39.956758,-75.170887,19103
STOP PROHIBITED CC,2017-11-11T12:06:00Z,76,PPA,39.949045,-75.143087,19106
METER EXPIRED CC,2017-11-28T13:51:00Z,36,PPA,39.949628,-75.14367,19106
METER EXPIRED CC,2017-11-17T20:38:00Z,36,PPA,39.94949,-75.15947,19107
CORNER CLEARANCE,2017-11-20T09:57:00Z,51,PPA,39.956572,-75.215377,19139
OVER TIME LIMIT,2017-11-11T12:54:00Z,26,PPA,39.956445,-75.225207,19139
OVER TIME LIMIT,2017-11-11T12:56:00Z,26,PPA,39.956307,-75.224428,19139
METER EXPIRED,2017-11-10T21:47:00Z,26,PPA,39.928008,-75.16577,19148
METER EXPIRED CC,2017-11-11T11:33:00Z,36,PPA,39.955708,-75.198265,19104
METER EXPIRED CC,2017-11-11T11:54:00Z,36,PPA,39.953737,-75.202768,19104
METER EXPIRED CC,2017-11-11T13:26:00Z,36,PPA,39.955472,-75.19808,19104
METER EXPIRED CC,2017-11-11T14:24:00Z,36,PPA,39.954052,-75.202638,19104
METER EXPIRED CC,2017-11-11T08:39:00Z,36,PPA,39.955617,-75.155902,19107
BUS ONLY ZONE,2017-11-22T14:37:00Z,51,PPA,40.009603,-75.1512,19140
METER EXPIRED CC,2017-11-11T14:28:00Z,36,PPA,39.953273,-75.202748,19104
METER EXPIRED CC,2017-11-10T22:49:00Z,36,PPA,39.941952,-75.151113,19147
EXPIRED INSPECTION,2017-11-10T22:48:00Z,41,PPA,39.941862,-75.151068,19147
METER EXPIRED,2017-11-11T09:44:00Z,26,PPA,40.034562,-75.17433,19144
METER EXPIRED,2017-11-11T10:24:00Z,26,PPA,40.03533,-75.173322,19144
METER EXPIRED,2017-11-11T10:26:00Z,26,PPA,40.03505,-75.173908,19144
METER EXPIRED CC,2017-11-29T21:33:00Z,36,PPA,39.951075,-75.1707,19103
STOP PROHIBITED CC,2017-11-22T19:23:00Z,76,PPA,39.956328,-75.202077,19104
PARKING PROHBITED,2017-11-24T07:05:00Z,41,POLICE,40.00238839,-75.15273864,19140
METER EXPIRED,2017-11-22T17:24:00Z,26,PPA,40.04874,-75.09639,19111
METER EXPIRED,2017-11-22T17:25:00Z,26,PPA,40.049053,-75.096137,19111
METER EXPIRED,2017-11-22T17:28:00Z,26,PPA,40.04979,-75.095038,19111
METER EXPIRED CC,2017-11-03T13:02:00Z,36,PPA,39.942477,-75.155962,19147
EXPIRED INSPECTION,2017-11-24T12:30:00Z,41,PPA,39.941703,-75.150368,19147
EXPIRED INSPECTION,2017-11-25T14:23:00Z,41,PPA,39.961265,-75.173448,19103
METER EXPIRED,2017-11-22T17:54:00Z,26,PPA,40.060667,-75.084557,19111
METER EXPIRED CC,2017-11-11T10:04:00Z,36,PPA,39.95599,-75.197847,19104
PARKING PROHBITED,2017-11-22T11:19:00Z,41,PPA,39.942757,-75.173678,19146
METER EXPIRED CC,2017-11-22T11:23:00Z,36,PPA,39.944462,-75.173585,19146
METER EXPIRED CC,2017-11-15T19:48:00Z,36,PPA,39.953708,-75.158608,19107
STOPPING PROHIBITED,2017-11-08T21:47:00Z,51,PPA,39.922018,-75.171897,19145
METER EXPIRED CC,2017-11-27T15:32:00Z,36,PPA,39.948583,-75.170272,19103
METER EXPIRED,2017-11-11T14:27:00Z,26,PPA,39.956857,-75.224617,19139
OVER TIME LIMIT,2017-11-16T11:03:00Z,26,PPA,39.968458,-75.169102,19130
EXPIRED INSPECTION,2017-11-22T17:31:00Z,41,PPA,39.95051,-75.170235,19103
METER EXPIRED,2017-11-11T12:49:00Z,26,PPA,40.035297,-75.173353,19144
OVER TIME LIMIT,2017-11-28T15:02:00Z,26,PPA,40.014903,-75.08672,19124
PARKING PROHBITED CC,2017-11-10T11:19:00Z,51,PPA,39.946783,-75.182937,19146
METER EXPIRED,2017-11-27T17:34:00Z,26,PPA,39.96441,-75.20426,19104
STOP PROHIBITED CC,2017-11-24T21:46:00Z,76,POLICE,39.95547584,-75.15668229,19107
METER EXPIRED CC,2017-11-22T18:50:00Z,36,PPA,39.949302,-75.14601,19106
METER EXPIRED CC,2017-11-22T20:05:00Z,36,PPA,39.948318,-75.144513,19106
METER EXPIRED CC,2017-11-22T20:16:00Z,36,PPA,39.948398,-75.143157,19106
METER EXPIRED CC,2017-11-11T14:06:00Z,36,PPA,39.95357,-75.198143,19104
METER EXPIRED CC,2017-11-11T14:16:00Z,36,PPA,39.956423,-75.196818,19104
METER EXPIRED CC,2017-11-09T15:18:00Z,36,PPA,39.959868,-75.164407,19130
METER EXPIRED CC,2017-11-04T11:34:00Z,36,PPA,39.955492,-75.176085,19103
HP RESERVED SPACE,2017-11-01T19:37:00Z,301,PPA,39.950068,-75.158117,19107
EXPIRED INSPECTION,2017-11-07T12:54:00Z,41,POLICE,39.97296908,-75.24795436,19151
METER EXPIRED,2017-11-11T12:47:00Z,26,PPA,40.04215,-75.074618,19149
METER EXPIRED,2017-11-11T12:58:00Z,26,PPA,40.041115,-75.07567,19149
